our_cx,uploaded_cx,our_cy,uploaded_cy,our_cz,uploaded_cz
0.0,0.425538480610148,0.0,1.0,0.0,0.0
-0.001457889396037186,0.4167391279137793,-0.0006581864494436315,0.9853303264983482,0.0011159600013679136,0.001141150824213
-0.0029146892956064927,0.4079463510685741,-0.0013163288512714813,0.970661634730886,0.00225236381984751,0.002303206948547
-0.004369831801381619,0.3991635777206112,-0.0019742585494050505,0.9559976837078612,0.0034093260869441176,0.0034862855921046
-0.0058227490160363835,0.3903942355159662,-0.0026318068877658565,0.9413422324395168,0.004586961434162435,0.0046905039739948
-0.007272873042244483,0.3816417521007171,-0.0032888052102753944,0.9266990399360916,0.005785384493007611,0.0059159793133289
-0.008719635982679746,0.3729095551209394,-0.003945084860855177,0.9120718652078332,0.007004709894984524,0.0071628288292136
-0.010162469940015875,0.364201072222711,-0.00460047718342667,0.8974644672649801,0.008245052271598502,0.0084311697407579
-0.011600807016926689,0.3555197310521086,-0.00525481352191142,0.8828806051177848,0.009506526254354603,0.0097211192670709
-0.0130340793160859,0.346868959255209,-0.005907925220230911,0.8683240377764858,0.010789246474757617,0.0110327946272595
