pid,fnm,lnm,hght,n,bx,by,bz,rt,rx,ry,rz,rv,rvx,rvy,rvz,mnv,mnvt,mnvx,mnvy,mnvz,mxv,mxvt,mxvx,mxvy,mxvz,ta1t,ta1x,ta1y,ta1z,ta2t,ta2x,ta2y,ta2z,at1t,at1x,at1y,at1z,at2t,at2x,at2y,at2z,lr1t,lr1x,lr1y,lr1z,lr2t,lr2x,lr2y,lr2z,rl1t,rl1x,rl1y,rl1z,rl2t,rl2x,rl2y,rl2z,pl,spl,plr
101181,Jose,Calderon,75,520,0.050063329,-0.13948093,2.946646315,0.37,0.001807429,-0.014784529,7.737774783,15.4126967,-7.073883076,0.888355195,13.66463402,9.960368475,0.288,0.339343428,-0.06876817,6.783392088,19.24948178,0.105,-0.30885147,0.208425048,4.306566902,0.098,-0.310836813,0.201698361,4.172038857,NA,NA,NA,NA,0.271,0.349746177,-0.068753509,6.612876285,NA,NA,NA,NA,0.279,0.34747872,-0.069702254,6.69359517,NA,NA,NA,NA,0.12,-0.29126695,0.21443079,4.592996194,NA,NA,NA,NA,5.161796839,4.792993827,1.076946273
203463,Ben,McLemore,75,519,-0.547905057,0.234320339,3.170290307,0.386,-0.008381455,-0.023788432,8.629184205,14.22386313,-8.040371335,0.586264347,11.71866056,8.634777796,0.318,0.341046048,-0.043610604,7.94395305,22.36932286,0.118,-0.51021658,0.265830677,5.178214027,0.06,-0.726455451,0.305588311,4.036463363,NA,NA,NA,NA,0.287,0.37352637,-0.035846853,7.666171005,NA,NA,NA,NA,0.32,0.336536886,-0.043638952,7.961228218,NA,NA,NA,NA,0.068,-0.721839029,0.307013809,4.162346404,NA,NA,NA,NA,5.792435665,5.491559747,1.054788791
202340,Avery,Bradley,75,517,0.061884532,-0.143700228,2.754368418,0.399,-0.108814537,0.024994197,7.485462523,13.91690535,-5.595215228,-0.008188729,12.74259605,11.95068312,0.335,0.110266565,0.055634604,6.700830577,15.6655999,0.152,-0.210507013,0.228850536,4.113612092,0.101,-0.266514367,0.174723544,3.359349019,NA,NA,NA,NA,0.302,0.129442286,0.089154131,6.303621317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168,-0.176666338,0.232159576,4.362715338,NA,NA,NA,NA,5.06667082,4.737177157,1.069554853
202704,Reggie,Jackson,75,514,-0.447045629,0.282249116,2.810599593,0.284,-0.005984458,-0.02103185,7.013118159,13.80753535,-4.811774279,0.54276056,12.9305944,9.431236551,0.227,-0.001424567,0.012850263,6.386718959,19.89909303,0.11,-0.686593894,0.335878416,4.681036038,0.072,-0.794770508,0.409379935,3.952204636,NA,NA,NA,NA,0.256,0.068761591,-0.021056507,6.67366011,NA,NA,NA,NA,0.27,0.049723964,-0.025308836,6.834852414,NA,NA,NA,NA,0.066,-0.791677177,0.411038168,3.848144081,NA,NA,NA,NA,4.481220539,4.236469827,1.057772325
201156,Nick,Young,NA,513,-0.671244526,-0.217354665,2.948008349,0.386,-0.007268072,-0.005899363,8.382895924,13.93295828,-7.574725979,1.22294701,11.6299292,9.165818678,0.311,0.342020914,-0.074719103,7.597545462,21.8869953,0.114,-0.834276417,0.254185334,4.885610113,0.067,-1.029601167,0.200850646,3.934813887,NA,NA,NA,NA,0.292,0.357519493,-0.081217116,7.421471049,NA,NA,NA,NA,0.289,0.357006098,-0.081347811,7.392903134,NA,NA,NA,NA,0.104,-0.901630712,0.256905847,4.667472341,NA,NA,NA,NA,6.02994094,5.479377795,1.100479136
101107,Marvin,Williams,80,511,-0.103171599,0.173449378,3.413059694,0.381,-0.012125703,-0.01809788,8.513781755,13.3257171,-6.970278406,-0.088815638,11.35702721,8.204408755,0.311,0.29510609,-0.018676163,7.836669728,21.27908729,0.112,-0.300730551,0.400894355,5.237065621,0.067,-0.412579583,0.441915515,4.351996626,NA,NA,NA,NA,0.276,0.324876571,-0.008615974,7.53591232,NA,NA,NA,NA,0.309,0.298611998,-0.018701649,7.820260514,NA,NA,NA,NA,0.077,-0.406102336,0.446263758,4.526166329,0.273,0.324717821,-0.006320338,7.507394186,5.419925034,5.105129308,1.061662635
202710,Jimmy,Butler,79,510,0.199494353,0.14602656,3.210008268,0.491,-0.209006043,0.031143026,9.00041555,11.60764594,-4.683491082,-1.059298221,10.56788734,10.65168539,0.16,-0.132354148,0.360721277,4.666062127,15.30538714,0.276,0.023989092,0.289265447,6.261461481,0.169,-0.134366681,0.359752471,4.765058273,NA,NA,NA,NA,0.347,0.109001766,0.207379424,7.306729279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158,-0.131400259,0.360764987,4.64475047,NA,NA,NA,NA,5.924286216,5.805935523,1.020384431
201163,Wilson,Chandler,80,509,0.03206002,0.178530377,3.037453411,0.476,-0.013820846,0.005877961,8.917809888,13.55389694,-9.277020277,0.239509818,9.878646262,6.211189338,0.401,0.51167718,-0.022403456,8.336830063,20.96675068,0.127,-0.304833225,0.40494296,4.647305138,0.095,-0.344376052,0.392447394,3.996685715,NA,NA,NA,NA,0.323,0.70232656,-0.001490968,7.777658751,NA,NA,NA,NA,0.375,0.614990814,-0.027966316,8.17041001,NA,NA,NA,NA,0.122,-0.31631345,0.405377206,4.542521755,NA,NA,NA,NA,6.513187291,5.883069455,1.107106986
1713,Vince,Carter,78,504,-0.174382351,0.216058921,2.915894794,0.474,-0.052501374,0.01036862,8.739778418,15.05657904,-8.746280606,1.026838233,12.21264718,7.216039946,0.315,0.595894511,-0.11557992,7.252437492,20.55489175,0.114,-0.490704816,0.337572265,4.364436079,0.103,-0.494509559,0.336748388,4.139394428,NA,NA,NA,NA,0.339,0.619178917,-0.132889281,7.432647564,NA,NA,NA,NA,0.355,0.607885279,-0.136714214,7.572353821,NA,NA,NA,NA,0.112,-0.491953316,0.337643861,4.323329635,NA,NA,NA,NA,6.400988316,5.828789235,1.098167743
201588,George,Hill,75,504,0.225047766,0.302707122,2.880844667,0.385,-0.020471462,-0.039007871,7.184185719,14.29667794,-7.046325145,-0.130901108,12.43893754,8.443810318,0.308,0.286659931,0.012951955,6.396618052,16.55484394,0.121,-0.164328824,0.548194772,4.072668037,0.124,-0.164524404,0.54521594,4.122311375,NA,NA,NA,NA,0.29,0.294758307,0.039994707,6.242877877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,-0.147393417,0.55978812,3.683709264,NA,NA,NA,NA,4.710498217,4.323863208,1.089418881
